"hora_id_ref","id_linha","sentido_linha","let_cod_linha","let_destino","let_origem","meta_qtde_onibus"
"00",35013,2,"809H-10","LAPA","JD. BOA VISTA",1
"00",33936,2,"6080-10","SHOP. INTERLAGOS","JD. LUCÉLIA",1
"00",34000,2,"6258-10","TERM. STO. AMARO","JD. SÃO FRANCISCO",1
"00",33974,2,"6017-10","JD. ÂNGELA","JD. NAKAMURA",1
"00",33939,2,"6L01-10","TERM. VARGINHA","MARSILAC",9
"00",34660,2,"857R-10","ACLIMAÇÃO","TERM. CAMPO LIMPO",2
"00",785,1,"746H-10","STO. AMARO","JD. JAQUELINE",1
"00",134,1,"2060-10","METRÔ ARTUR ALVIM","TERM. A. E. CARVALHO",1
"00",1147,1,"6056-10","TERM. GRAJAÚ","PQ. STA. CECÍLIA",1
"00",1114,1,"5010-10","STO. AMARO","JABAQUARA",1
"00",797,1,"8038-10","LAPA","PQ. CONTINENTAL",1
"00",2260,1,"2023-10","METRÔ TUCURUVI","CACHOEIRA",2
"00",35087,2,"N209-11","METRÔ SANTANA","TERM. CACHOEIRINHA",1
"00",35278,2,"875C-1","METRÔ STA. CRUZ","TERM. LAPA",2
"00",957,1,"3019-10","VL. PAULISTA I","TERM. CID. TIRADENTES",1
"00",867,1,"177Y-10","PINHEIROS","METRÔ BARRA FUNDA",1
"00",32910,2,"2552-10","TERM. PQ. D. PEDRO II","VL. MARA",6
"00",1634,1,"5028-10","METRÔ ALTO DO IPIRANGA","CONJ. HAB. HELIÓPOLIS",1
"00",207,1,"208V-10","TERM. PQ. D. PEDRO II","TERM. A. E. CARVALHO",20
"00",33251,2,"6232-10","METRÔ BARRA FUNDA","PINHEIROS/VILA IDA ",1
"00",619,1,"971V-10","SHOP. CENTER NORTE","JD. VISTA ALEGRE",1
"00",2264,1,"2030-10","METRÔ SANTANA","LAUZANE PAULISTA",1
"00",34028,2,"8009-31","TERM. PIRITUBA","CID. D'ABRIL 3ª GLEBA",1
"00",34828,2,"4724-10","VL. NHOCUNÉ","METRÔ PATRIARCA",1
"00",31,1,"6805-10","TERM. JOÃO DIAS","TERM. CAPELINHA",1
"00",35069,2,"209P-1","TERM. PINHEIROS","CACHOEIRINHA",1
"00",1184,1,"6110-10","AEROPORTO","CONJ. HAB. PALMARES",2
"00",2428,1,"N801-11","TERM. PQ. D. PEDRO II","METRÔ BUTANTÃ",1
"00",34398,2,"573H-10","METRÔ BRESSER","HOSP. SAPOPEMBA",2
"00",591,1,"978J-10","TERM. PRINC. ISABEL","VOITH",1
"00",618,1,"971T-10","METRÔ SANTANA","VL. STA. MARIA",1
"00",2071,1,"8019-10","METRÔ BUTANTÃ","PQ. CONTINENTAL",1
"00",1897,1,"7057-10","TERM. CAMPO LIMPO","JD. MITSUTANI",2
"00",2245,1,"809H-10","LAPA","JD. BOA VISTA",1
"00",552,1,"1758-10","METRÔ SANTANA","JD. ANTÁRTICA",1
"00",33354,2,"938C-10","TERM. PRINC. ISABEL","COHAB TAIPAS",1
"00",33486,2,"2290-10","TERM. PQ. D. PEDRO II","TERM. SÃO MATEUS",4
"00",219,1,"263J-10","CONJ. JOSÉ BONIFÁCIO","PENHA",3
"00",332,1,"4708-10","METRÔ VL. MARIANA","JD. CLÍMAX",1
"00",33178,2,"8047-41","METRÔ VL. MADALENA","JARAGUÁ",1
"00",33412,2,"1783-10","METRÔ SANTANA","CACHOEIRA",1
"00",2002,1,"6063-42","TERM. VARGINHA","CHÁC. STO. AMARO",1
"00",33429,2,"119C-10","TERM. PRINC. ISABEL","PQ. EDU CHAVES",2
"00",516,1,"106A-10","ITAIM BIBI","METRÔ SANTANA",2
"00",12,1,"6835-10","TERM. CAPELINHA","VALO VELHO",1
"00",519,1,"118C-10","TERM. AMARAL GURGEL","JD. PERY ALTO",1
